park_no,address,zip,park_class,park_name
104,1518 W 102ND PL,60643,NEIGHBORHOOD PARK,Graver
105,2509 W IRVING PARK RD,60618,COMMUNITY PARK,Revere
106,5100 N FRANCISCO AVE,60625,REGIONAL PARK,River
107,3285 N ELSTON AVE,60618,COMMUNITY PARK,Brands
108,2650 W PETERSON AVE,60659,COMMUNITY PARK,Green Briar
109,3843 N CALIFORNIA AVE,60618,COMMUNITY PARK,California
110,5861 N KOSTNER AVE,60646,COMMUNITY PARK,Sauganash
111,1333 N LARAMIE AVE,60651,REGIONAL PARK,La Follette
112,5610 W LAKE ST,60644,COMMUNITY PARK,Austin Town Hall
113,1330 W CHICAGO AVE,60622,COMMUNITY PARK,Eckhart
114,1449 S KOLIN AVE,60623,COMMUNITY PARK,Franklin
115,2200 N OAKLEY AVE,60647,COMMUNITY PARK,Holstein
116,100 N CENTRAL PARK DR,60624,CITYWIDE PARK,Garfield
117,910 S ABERDEEN ST,60607,COMMUNITY PARK,Sheridan
118,515 S WASHTENAW AVE,60612,COMMUNITY PARK,Altgeld
119,500 S CENTRAL AVE,60644,CITYWIDE PARK,Columbus
120,1501 W RANDOLPH ST,60607,COMMUNITY PARK,Union
121,1331 W  MONROE ST,60606,COMMUNITY PARK,Skinner
122,1401 S SACRAMENTO DR,60623,CITYWIDE PARK,Douglas
123,5835 N LINCOLN AVE,60659,COMMUNITY PARK,Mather
124,3660 W 23RD ST,60623,COMMUNITY PARK,Shedd
125,1824 S WOOD ST,60608,REGIONAL PARK,Harrison
126,1425 N DAMEN AVE,60622,COMMUNITY PARK,Wicker
127,1250 W LEXINGTON ST,60607,COMMUNITY PARK,Arrigo
128,1437 E 54TH ST,60615,NEIGHBORHOOD PARK,Spruce
129,1119 W CULLERTON ST,60608,COMMUNITY PARK,Dvorak
130,1419 W BLACKHAWK ST,60622,COMMUNITY PARK,Pulaski
131,1400 N HUMBOLDT DR,60622,CITYWIDE PARK,Humboldt
132,401 W 123RD ST,60628,REGIONAL PARK,West Pullman
133,6140 S MELVINA AVE,60638,REGIONAL PARK,Hale
134,5887 N RIDGE AVE,60660,COMMUNITY PARK,Senn
135,2741 W MONTROSE AVE,60618,REGIONAL PARK,Horner
136,8029 W FOREST PRESERVE AVE,60634,COMMUNITY PARK,Hiawatha
137,4200 W 31ST ST,60623,REGIONAL PARK,Piotrowski
138,6446 S KIMBARK AVE,60637,MINI-PARK,Moccasin Ranch
139,2000 E 75TH ST,60649,COMMUNITY PARK,Rosenblum
140,2430 E 82ND ST,60617,NEIGHBORHOOD PARK,Eckersall
141,5014 W 50TH ST,60638,COMMUNITY PARK,Vittum
142,2230 W CORTLAND ST,60647,NEIGHBORHOOD PARK,Erhler
143,965 W 95TH ST,60643,COMMUNITY PARK,Oakdale
144,10540 S MORGAN ST,60643,REGIONAL PARK,Robinson
145,2100 E 88TH ST,60617,COMMUNITY PARK,Owens
146,5625 S MOBILE AVE,60638,REGIONAL PARK,Wentworth
147,8040 S DAMEN AV,60620,COMMUNITY PARK,Dawes
148,7345 N WASHTENAW AVE,60645,REGIONAL PARK,Rogers
149,2936 W 85TH ST,60652,REGIONAL PARK,Hayes
150,6054 S DAMEN AVE,60636,REGIONAL PARK,Lindblom
